X,Y,cellid,lat,lon,PosXcd_142,PosYcd_142
-860653.499333496,-1012975.19026133,BSONOS3,50.198258000000003,12.728547000000001,-860653,-1012975
-850547.383768898,-1015103.3503048,BKVBRE1,50.193702999999999,12.873023999999999,-850547,-1015103
-843418.814045831,-991609.037537638,BKVBOZ2,50.412365000000001,12.920230000000000,-843419,-991609
-858779.712241709,-998976.075248578,BKVNJD4,50.325200000000002,12.723312999999999,-858780,-998976
-849286.225807192,-1009420.61767696,UKVBOH103,50.245941999999999,12.877990000000000,-849286,-1009421
-858927.127951846,-1014041.71851363,BSOLOK2,50.191251999999999,12.754789000000001,-858927,-1014042
-849140.037590621,-1012413.14363121,UKVIMP101,50.219574999999999,12.886588000000000,-849140,-1012413
-849732.95036947,-1012321.08102488,UKVPUP209,50.219557000000002,12.878180000000000,-849733,-1012321
-858610.190517281,-1008909.02012555,VSOYCH101,50.237268000000000,12.747776999999999,-858610,-1008909
-866036.402588278,-1014455.11111652,BSOTKB1,50.177415000000003,12.657429000000000,-866036,-1014455
-847194.984152851,-1009679.65810288,DKVVSE3,50.246586000000001,12.907518000000000,-847195,-1009680
-858765.23348314,-1008518.91828546,BSOCHO3,50.240510000000000,12.744764000000000,-858765,-1008519
-851422.554985051,-1009960.05147717,UKVUKO102,50.238137000000002,12.849598000000000,-851423,-1009960
-858178.725642309,-996844.320705575,BKVTIV4,50.344980999999997,12.726891999999999,-858179,-996844
-847194.984152851,-1009679.65810288,UKVVSE104,50.246586000000001,12.907518000000000,-847195,-1009680
-847194.984152851,-1009679.65810288,BKVVSE3,50.246586000000001,12.907518000000000,-847195,-1009680
-841492.548521972,-1038353.82655533,BPSBEZ4,49.999879999999997,13.048634000000000,-841493,-1038354
-858530.773099275,-994404.765897058,BKVNHM3,50.366132999999998,12.716561000000000,-858531,-994405
-849286.225807192,-1009420.61767696,BKVBOH3,50.245941999999999,12.877990000000000,-849286,-1009421
-857276.35927712,-1020354.08525154,BSOHOS4,50.137560000000001,12.791579000000000,-857276,-1020354
-857411.181210369,-999779.151515633,VKVYNP102,50.320023999999997,12.744078000000000,-857411,-999779
-850217.313500414,-1011159.65369212,UKVBER103,50.229187000000003,12.868923000000001,-850217,-1011160
-853591.42749296,-1013121.04086188,BKVSTU4,50.207003000000000,12.826551000000000,-853591,-1013121
-852778.801343367,-1010857.69580359,UKVCHE201,50.228248999999998,12.832803000000000,-852779,-1010858
-850217.313500414,-1011159.65369212,UKVBER101,50.229187000000003,12.868923000000001,-850217,-1011160
-843502.162686548,-1004389.69161818,VKVYOT104,50.298748000000003,12.947101000000000,-843502,-1004390
-851422.554985051,-1009960.05147717,UKVUKO202,50.238137000000002,12.849598000000000,-851423,-1009960
-849732.95036947,-1012321.08102488,BKVPUP2,50.219557000000002,12.878180000000000,-849733,-1012321
-867840.857678513,-1005263.55667779,BSOSPC2,50.256394000000000,12.611860999999999,-867841,-1005264
